               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.051994,            0.012921,             0.02838,             0.76997,             0.72799,             0.91469,             0.36488,            0.034152,           0.0051775,             0.01582,           0.0087724,           0.0087724,           0.0087724
                  64,            0.044369,            0.011944,            0.029853,             0.76997,             0.72799,             0.91469,             0.36488,            0.034152,           0.0051775,             0.01582,           0.0087526,           0.0087526,           0.0087526
                  65,            0.047809,            0.013192,            0.028554,             0.87394,             0.69949,             0.93071,             0.55036,            0.030901,           0.0049109,            0.015258,           0.0087328,           0.0087328,           0.0087328
                  66,            0.046012,            0.012525,            0.028989,             0.86333,             0.90124,             0.96226,             0.43773,            0.032322,           0.0050679,            0.014748,            0.008713,            0.008713,            0.008713
                  67,            0.047676,            0.011388,            0.029358,             0.79019,             0.75831,             0.89124,             0.58311,            0.022338,           0.0048304,            0.014045,           0.0086932,           0.0086932,           0.0086932
                  68,            0.045141,            0.011219,            0.028679,             0.79019,             0.75831,             0.89124,             0.58311,            0.022338,           0.0048304,            0.014045,           0.0086734,           0.0086734,           0.0086734
                  69,            0.038944,            0.013963,            0.028656,              0.7688,              0.9655,             0.89516,             0.64942,            0.019395,           0.0046523,            0.013724,           0.0086536,           0.0086536,           0.0086536
                  70,            0.036563,            0.010318,            0.027357,             0.98167,             0.87379,             0.99194,             0.68705,            0.021538,           0.0048468,            0.013617,           0.0086338,           0.0086338,           0.0086338
                  71,            0.038291,            0.011031,            0.026327,              0.5946,             0.83638,             0.74522,             0.38355,             0.03755,           0.0054603,            0.013437,            0.008614,            0.008614,            0.008614
                  72,            0.049814,            0.012804,            0.025351,              0.5946,             0.83638,             0.74522,             0.38355,             0.03755,           0.0054603,            0.013437,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045393,            0.013302,             0.02715,             0.54761,             0.91176,             0.73337,             0.37404,            0.036378,           0.0052517,            0.012848,           0.0085744,           0.0085744,           0.0085744
                  74,            0.046525,            0.011172,            0.025752,             0.65061,             0.87354,             0.84174,             0.35873,            0.036772,           0.0051636,            0.011673,           0.0085546,           0.0085546,           0.0085546
                  75,            0.050782,             0.01148,            0.026764,             0.92809,             0.92968,             0.94117,             0.52686,            0.028034,           0.0048563,            0.011777,           0.0085348,           0.0085348,           0.0085348
                  76,            0.043448,            0.013284,            0.027152,             0.92809,             0.92968,             0.94117,             0.52686,            0.028034,           0.0048563,            0.011777,            0.008515,            0.008515,            0.008515
                  77,             0.04044,            0.010922,            0.026066,             0.83777,             0.89874,              0.9041,             0.46332,            0.029907,           0.0047567,            0.011971,           0.0084952,           0.0084952,           0.0084952
                  78,            0.040949,            0.011192,            0.026737,             0.86981,              0.8677,             0.90135,             0.47721,            0.028234,           0.0046394,            0.012274,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039724,            0.011057,            0.024832,             0.79552,             0.87326,             0.88726,             0.49304,            0.029174,           0.0045139,             0.01221,           0.0084556,           0.0084556,           0.0084556
                  80,            0.047913,            0.010714,              0.0256,             0.79552,             0.87326,             0.88726,             0.49304,            0.029174,           0.0045139,             0.01221,           0.0084358,           0.0084358,           0.0084358
                  81,             0.04076,            0.012536,             0.02432,             0.78172,             0.86071,             0.95173,             0.61144,            0.022641,           0.0045249,            0.011908,            0.008416,            0.008416,            0.008416
                  82,            0.037619,            0.012976,            0.026837,             0.60122,             0.84783,             0.86204,             0.59788,            0.026029,           0.0050165,            0.013961,           0.0083962,           0.0083962,           0.0083962
                  83,            0.036707,            0.012265,            0.019618,               0.909,             0.87551,             0.92306,             0.46177,            0.026733,           0.0052083,            0.011109,           0.0083764,           0.0083764,           0.0083764
                  84,            0.040283,            0.012055,            0.022645,               0.909,             0.87551,             0.92306,             0.46177,            0.026733,           0.0052083,            0.011109,           0.0083566,           0.0083566,           0.0083566
                  85,            0.039643,            0.013537,            0.021909,             0.84878,             0.89155,             0.91292,             0.55072,            0.026581,           0.0053395,            0.010746,           0.0083368,           0.0083368,           0.0083368
                  86,            0.039636,            0.011449,            0.020904,             0.78657,             0.88328,              0.8613,             0.46683,            0.029647,           0.0049581,            0.010734,            0.008317,            0.008317,            0.008317
                  87,            0.040985,             0.01275,              0.0235,              0.9388,             0.80307,             0.92933,             0.54503,            0.025211,           0.0046915,            0.010109,           0.0082972,           0.0082972,           0.0082972
                  88,            0.045165,            0.011445,            0.021635,              0.9388,             0.80307,             0.92933,             0.54503,            0.025211,           0.0046915,            0.010109,           0.0082774,           0.0082774,           0.0082774
                  89,            0.039684,            0.011914,            0.020864,              0.9026,             0.86487,             0.93866,             0.59063,            0.022435,           0.0044069,            0.010378,           0.0082576,           0.0082576,           0.0082576
                  90,            0.033851,             0.01045,            0.018631,             0.92594,             0.86189,             0.92534,             0.53569,            0.025805,           0.0043982,            0.010278,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03764,            0.012449,            0.021157,             0.76463,             0.89195,             0.90806,             0.54241,            0.027269,           0.0043743,            0.010052,            0.008218,            0.008218,            0.008218
                  92,            0.039849,            0.010416,            0.023045,             0.76463,             0.89195,             0.90806,             0.54241,            0.027269,           0.0043743,            0.010052,           0.0081982,           0.0081982,           0.0081982
                  93,            0.037503,            0.011915,            0.021816,              0.7638,             0.89751,             0.90762,             0.53205,             0.02685,           0.0044272,           0.0098475,           0.0081784,           0.0081784,           0.0081784
                  94,            0.032098,            0.010166,            0.017306,             0.99216,             0.95502,             0.99361,             0.65831,            0.019296,           0.0043715,           0.0072575,           0.0081586,           0.0081586,           0.0081586
                  95,            0.033124,            0.012316,            0.021859,             0.93571,             0.93478,             0.96567,             0.48743,            0.028108,           0.0043905,           0.0091268,           0.0081388,           0.0081388,           0.0081388
                  96,            0.043923,            0.011498,            0.019191,             0.93571,             0.93478,             0.96567,             0.48743,            0.028108,           0.0043905,           0.0091268,            0.008119,            0.008119,            0.008119
                  97,             0.03634,           0.0097273,            0.020052,             0.91057,             0.93478,             0.96089,             0.61716,            0.017959,            0.004239,            0.010102,           0.0080992,           0.0080992,           0.0080992
                  98,            0.038178,            0.010908,             0.02062,             0.89408,             0.93478,             0.96423,             0.67915,            0.022486,           0.0043841,           0.0095508,           0.0080794,           0.0080794,           0.0080794
                  99,            0.033781,            0.010934,            0.020377,             0.70528,             0.93478,             0.96652,              0.5284,            0.026512,           0.0050783,           0.0097737,           0.0080596,           0.0080596,           0.0080596
                 100,            0.033283,           0.0086402,            0.017797,             0.70528,             0.93478,             0.96652,              0.5284,            0.026512,           0.0050783,           0.0097737,           0.0080398,           0.0080398,           0.0080398
                 101,            0.036481,            0.010939,            0.018389,             0.81278,              0.9087,             0.97656,              0.6044,            0.020404,           0.0047892,           0.0095337,             0.00802,             0.00802,             0.00802
                 102,            0.041095,            0.012662,            0.017428,             0.71402,             0.95452,              0.9892,             0.41492,            0.033527,           0.0059938,             0.00916,           0.0080002,           0.0080002,           0.0080002
                 103,            0.055483,            0.011473,            0.018887,             0.59239,             0.89786,             0.93307,             0.54921,            0.028124,           0.0049092,           0.0094178,           0.0079804,           0.0079804,           0.0079804
                 104,            0.041356,            0.010958,            0.019067,             0.59239,             0.89786,             0.93307,             0.54921,            0.028124,           0.0049092,           0.0094178,           0.0079606,           0.0079606,           0.0079606
                 105,            0.030486,            0.010402,            0.016755,             0.72367,             0.90048,             0.95191,             0.52034,            0.025204,           0.0047027,             0.01114,           0.0079408,           0.0079408,           0.0079408
                 106,            0.032526,           0.0096767,            0.018095,               0.913,              0.9261,             0.92907,             0.61253,            0.022726,           0.0046396,           0.0093157,            0.007921,            0.007921,            0.007921
                 107,            0.034178,            0.011669,            0.018295,             0.79067,             0.92225,             0.91301,             0.34149,            0.033688,           0.0053256,           0.0081808,           0.0079012,           0.0079012,           0.0079012
                 108,            0.038881,            0.011268,            0.017259,             0.79067,             0.92225,             0.91301,             0.34149,            0.033688,           0.0053256,           0.0081808,           0.0078814,           0.0078814,           0.0078814
